Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
JEAN,8499.00,521,55.50%,2172,"15,321"
ROLLINS,8473.00,522,25.10%,949,"33,797"
HOLLEY,8469.00,523,29.00%,1098,"29,215"
LAMBERT,8464.00,524,9.30%,303,"90,618"
BLAND,8463.00,525,33.60%,1286,"25,219"
MERRITT,8457.00,526,19.00%,701,"44,626"
HAYWOOD,8452.00,527,48.30%,1884,"17,485"
ODOM,8449.00,528,25.10%,953,"33,717"
DAWKINS,8441.00,529,60.60%,2382,"13,940"
BOYKIN,8430.00,530,50.90%,2008,"16,565"
HARGROVE,8416.00,531,43.00%,1676,"19,555"
SHANNON,8410.00,532,18.70%,693,"44,902"
DRAKE,8392.00,533,14.20%,506,"59,055"
MADDOX,8389.00,534,24.00%,906,"34,970"
BRAXTON,8386.00,535,74.50%,2938,"11,249"
CHILDS,8376.00,536,30.70%,1178,"27,266"
FOX,8370.00,537,5.70%,167,"147,357"
RICKS,8365.00,538,47.90%,1887,"17,474"
VALENTINE,8359.00,539,22.20%,834,"37,669"
MAYFIELD,8333.00,540,28.60%,1100,"29,136"
HORNE,8332.00,541,23.00%,873,"36,288"
LYLES,8329.00,542,53.30%,2128,"15,632"
BELLAMY,8324.00,543,52.50%,2101,"15,850"
BETHEA,8221.00,544,76.00%,3073,"10,811"
DOTSON,8213.00,545,25.80%,1004,"31,784"
STEWARD,8186.00,546,38.00%,1533,"21,558"
CONLEY,8178.00,547,15.10%,562,"54,194"
GIPSON,8172.00,548,44.70%,1803,"18,289"
YATES,8160.00,549,13.30%,491,"61,400"
HUTCHINSON,8128.00,550,17.00%,649,"47,809"
BEST,8124.00,551,22.00%,855,"36,862"
UNDERWOOD,8110.00,552,14.50%,535,"55,973"
LIVINGSTON,8103.00,553,19.80%,766,"40,964"
MCNAIR,8102.00,554,53.00%,2179,"15,299"
LOCKHART,8077.00,555,30.10%,1195,"26,844"
SHARP,8071.00,556,10.50%,371,"76,868"
FELDER,8061.00,557,67.30%,2767,"11,976"
HIGHTOWER,8060.00,558,42.30%,1723,"19,054"
HERRING,8057.00,559,21.60%,841,"37,353"
HIGGINS,8022.00,560,10.30%,365,"78,107"
SUMMERS,8021.00,561,14.50%,541,"55,391"
MATHEWS,7981.00,562,15.80%,609,"50,608"
TALLEY,7974.00,563,27.40%,1101,"29,082"
MORROW,7971.00,564,14.30%,538,"55,664"
LESTER,7949.00,565,18.10%,709,"43,919"
GALLOWAY,7940.00,566,23.50%,951,"33,773"
WARNER,7929.00,567,9.70%,344,"81,824"
OSBORNE,7883.00,568,12.00%,457,"65,802"
MAYES,7881.00,569,31.70%,1302,"24,853"
ALI,7876.00,570,21.80%,876,"36,079"
MANN,7843.00,571,9.70%,349,"81,022"
HOLLIS,7832.00,572,28.40%,1164,"27,597"
EDMONDS,7820.00,573,32.30%,1339,"24,210"
HARRINGTON,7796.00,574,12.00%,462,"65,131"
BRUCE,7795.00,575,15.00%,583,"52,004"
NOEL,7782.00,576,27.40%,1130,"28,401"
RICHMOND,7761.00,577,21.70%,882,"35,715"
WILDER,7728.00,578,25.70%,1067,"30,023"
KENDRICK,7662.00,579,29.20%,1222,"26,266"
MAGEE,7635.00,580,29.30%,1237,"26,031"
PERSON,7629.00,581,39.90%,1719,"19,129"
CLEVELAND,7619.00,582,25.20%,1056,"30,233"
FINLEY,7614.00,583,20.60%,854,"36,874"
SHERMAN,7613.00,584,10.90%,422,"69,840"
KEYS,7610.00,585,42.80%,1860,"17,763"
GRIFFITH,7588.00,586,9.80%,369,"77,429"
SKINNER,7585.00,587,14.50%,575,"52,490"
KEY,7556.00,588,23.70%,999,"31,882"
WITHERSPOON,7529.00,589,61.30%,2696,"12,283"
DONALDSON,7513.00,590,21.20%,897,"35,387"
MAYO,7457.00,591,22.50%,965,"33,126"
LOFTON,7430.00,592,56.20%,2507,"13,212"
KIRKLAND,7425.00,593,25.70%,1107,"28,937"
WOMACK,7403.00,594,27.50%,1194,"26,890"
PROCTOR,7366.00,595,21.20%,918,"34,682"
FRANCOIS,7346.00,596,68.10%,3079,"10,794"
GRIER,7343.00,597,56.10%,2529,"13,098"
HOLMAN,7330.00,598,23.30%,1016,"31,514"
GROSS,7317.00,599,9.80%,387,"74,285"
BYNUM,7315.00,600,48.10%,2196,"15,204"
HOOKS,7300.00,601,44.70%,2034,"16,341"
HATCHER,7291.00,602,25.70%,1127,"28,424"
CROCKETT,7259.00,603,31.80%,1434,"22,850"
ASHLEY,7256.00,604,19.60%,852,"37,021"
HOBBS,7253.00,605,15.40%,659,"47,220"
CHANEY,7246.00,606,22.30%,979,"32,433"
RUSH,7243.00,607,19.30%,839,"37,470"
HOUSE,7225.00,608,17.80%,776,"40,477"
BRANDON,7222.00,609,28.20%,1260,"25,600"
PARHAM,7218.00,610,46.90%,2164,"15,387"
HESTER,7205.00,611,20.80%,919,"34,675"
HICKMAN,7188.00,612,17.90%,783,"40,224"
DARDEN,7186.00,613,56.80%,2623,"12,652"
CRENSHAW,7185.00,614,41.30%,1895,"17,402"
ARTIS,7178.00,615,81.20%,3688,"8,835"
PENN,7173.00,616,38.60%,1765,"18,601"
DUNLAP,7168.00,617,18.60%,820,"38,516"
DOZIER,7166.00,618,47.10%,2195,"15,207"
GASTON,7158.00,619,39.00%,1797,"18,348"
BRIGHT,7155.00,620,22.30%,992,"32,042"
DUNBAR,7086.00,621,28.50%,1299,"24,871"
FOREMAN,7081.00,622,26.10%,1186,"27,130"
HUFF,7065.00,623,13.10%,564,"53,892"
BRUNSON,7058.00,624,43.80%,2059,"16,118"
BOWERS,7056.00,625,10.90%,466,"64,496"
MCRAE,7053.00,626,41.00%,1920,"17,203"
LOTT,7048.00,627,28.10%,1291,"25,118"
SELLERS,7028.00,628,16.90%,755,"41,561"
GAY,7024.00,629,21.50%,974,"32,672"
CAREY,7003.00,630,12.80%,547,"54,924"
ADDISON,7000.00,631,42.50%,2019,"16,474"
MACKEY,6972.00,632,23.50%,1075,"29,718"
PETTY,6965.00,633,20.30%,933,"34,278"
CRUMP,6959.00,634,34.80%,1643,"19,973"
HENDRICKS,6931.00,635,16.60%,749,"41,879"
VINSON,6915.00,636,28.20%,1318,"24,557"
MARSH,6905.00,637,11.30%,494,"60,999"
RAINEY,6901.00,638,30.80%,1462,"22,397"
SCALES,6884.00,639,54.90%,2649,"12,542"
MANUEL,6880.00,640,28.40%,1337,"24,227"
HOLLINS,6853.00,641,75.60%,3603,"9,060"
BROUSSARD,6835.00,642,26.60%,1249,"25,735"
DUPREE,6802.00,643,43.50%,2126,"15,647"
FULTON,6794.00,644,21.60%,1017,"31,513"
BRANTLEY,6790.00,645,34.00%,1646,"19,953"
HEATH,6781.00,646,13.50%,614,"50,307"
SPENCE,6773.00,647,19.70%,928,"34,435"
MCQUEEN,6755.00,648,36.10%,1757,"18,701"
GRAYSON,6730.00,649,41.70%,2054,"16,158"
MCGILL,6718.00,650,25.50%,1218,"26,354"
GLASS,6703.00,651,16.50%,770,"40,724"
COLES,6703.00,651,49.10%,2431,"13,641"
BUTTS,6702.00,653,28.50%,1381,"23,540"
FELTON,6696.00,654,42.60%,2115,"15,734"
ATKINSON,6694.00,655,13.00%,592,"51,489"
STAFFORD,6675.00,656,14.70%,689,"45,349"
TRAVIS,6674.00,657,20.00%,960,"33,339"
BROCK,6672.00,658,11.20%,502,"59,682"
GOODE,6671.00,659,31.40%,1553,"21,226"
MCLEOD,6664.00,660,22.60%,1088,"29,423"
GUY,6662.00,661,23.80%,1150,"27,934"
SHEPARD,6634.00,662,17.10%,815,"38,705"
TONEY,6615.00,663,37.80%,1886,"17,481"
JEFFRIES,6612.00,664,29.00%,1435,"22,839"
PARRISH,6611.00,665,13.50%,632,"48,823"
MELTON,6604.00,666,13.60%,634,"48,594"
KEITH,6591.00,667,14.10%,663,"46,747"
MCPHERSON,6563.00,668,18.90%,913,"34,763"
FORBES,6529.00,669,20.30%,986,"32,228"
BOLTON,6524.00,670,20.40%,994,"31,995"
SINGLETARY,6515.00,671,50.20%,2559,"12,979"
LINDSAY,6511.00,672,20.50%,1008,"31,744"
ISAAC,6510.00,673,39.90%,2039,"16,312"
HARDIN,6508.00,674,15.60%,753,"41,664"
MARKS,6503.00,675,13.50%,644,"48,281"
BOWENS,6475.00,676,78.30%,3945,"8,270"
LACY,6455.00,677,29.00%,1467,"22,250"
STERLING,6419.00,678,26.40%,1333,"24,314"
AMOS,6412.00,679,28.10%,1436,"22,817"
MCINTYRE,6410.00,680,15.10%,742,"42,335"
GANT,6407.00,681,48.30%,2490,"13,268"
SAWYER,6376.00,682,13.30%,646,"47,979"
MAJOR,6367.00,683,32.20%,1659,"19,791"
SNEED,6361.00,684,37.70%,1963,"16,855"
BRADSHAW,6356.00,685,15.60%,769,"40,794"
BAXTER,6336.00,686,13.20%,647,"47,857"
WINTERS,6332.00,687,14.50%,712,"43,762"
ASKEW,6328.00,688,48.30%,2530,"13,095"
ECHOLS,6313.00,689,45.90%,2417,"13,741"
ALLISON,6294.00,690,12.20%,590,"51,504"
CROWDER,6285.00,691,26.80%,1387,"23,409"
GOODEN,6279.00,692,60.70%,3183,"10,338"
STALLWORTH,6268.00,693,84.90%,4439,7381
SHARPE,6266.00,694,22.50%,1155,"27,862"
DUMAS,6256.00,695,37.60%,1997,"16,660"
SWAIN,6232.00,696,25.70%,1338,"24,220"
SPARKS,6223.00,697,10.00%,481,"62,234"
JETER,6217.00,698,50.10%,2672,"12,419"
BUCKNER,6214.00,699,26.30%,1376,"23,645"
GUILLORY,6213.00,700,43.30%,2308,"14,351"
FITZGERALD,6205.00,701,8.40%,390,"73,522"
PACE,6201.00,702,15.90%,807,"38,975"
MCFARLAND,6194.00,703,15.40%,782,"40,244"
MCCLOUD,6189.00,704,40.90%,2204,"15,125"
FERRELL,6181.00,705,19.20%,987,"32,174"
BRITT,6179.00,706,20.50%,1059,"30,200"
SANFORD,6174.00,707,17.40%,888,"35,565"
BARKER,6170.00,708,7.20%,325,"85,221"
HOLDER,6165.00,709,19.00%,978,"32,466"
ORR,6109.00,710,14.00%,714,"43,666"
BOSTON,6109.00,710,40.70%,2223,"15,003"
VINCENT,6101.00,712,12.10%,608,"50,628"
MCMILLIAN,6098.00,713,55.40%,3020,"11,012"
SEALS,6070.00,714,40.40%,2222,"15,020"
SPANN,6066.00,715,51.90%,2815,"11,691"
COLEY,6065.00,716,40.80%,2243,"14,879"
KIDD,6011.00,717,18.90%,998,"31,886"
JOHNS,6006.00,718,12.70%,656,"47,289"
EASON,5981.00,719,35.30%,1949,"16,923"
STINSON,5964.00,720,23.20%,1254,"25,694"
TROTTER,5960.00,721,31.50%,1734,"18,946"
BONDS,5951.00,722,46.60%,2600,"12,763"
ROUSE,5943.00,723,23.80%,1292,"25,022"
FOUNTAIN,5931.00,724,31.10%,1720,"19,094"
LANG,5924.00,725,9.90%,499,"59,843"
MCGOWAN,5919.00,726,18.70%,1010,"31,669"
QUINN,5895.00,727,7.90%,386,"74,531"
ROACH,5881.00,728,13.20%,704,"44,454"
KIMBLE,5870.00,729,34.30%,1929,"17,138"
PICKENS,5864.00,730,37.60%,2133,"15,597"
FAISON,5858.00,731,75.80%,4242,"7,728"
ROYAL,5847.00,732,39.70%,2264,"14,739"
STEPHENSON,5828.00,733,12.50%,668,"46,662"
MEADOWS,5828.00,733,13.60%,725,"42,884"
RANSOM,5793.00,735,36.80%,2113,"15,754"
LEACH,5790.00,736,13.30%,714,"43,666"
HILLIARD,5789.00,737,29.60%,1675,"19,564"
CARRINGTON,5782.00,738,47.80%,2741,"12,093"
HOLDEN,5753.00,739,16.90%,940,"34,041"
EDMOND,5746.00,740,72.40%,4125,"7,940"
DUBOSE,5745.00,741,46.40%,2682,"12,377"
MCKOY,5745.00,741,84.20%,4746,6825
DICKSON,5743.00,743,16.60%,915,"34,698"
WHITLEY,5727.00,744,22.00%,1236,"26,078"
VANCE,5702.00,745,12.50%,686,"45,763"
REDMOND,5677.00,746,27.10%,1573,"20,919"
PLUMMER,5673.00,747,23.00%,1309,"24,665"
STOVALL,5669.00,748,35.30%,2067,"16,073"
SMILEY,5662.00,749,29.80%,1728,"19,014"
GRADY,5657.00,750,22.50%,1290,"25,121"
BRYAN,5654.00,751,10.20%,542,"55,269"
IRVING,5638.00,752,40.30%,2372,"13,997"
HUGGINS,5635.00,753,26.20%,1538,"21,499"
EWING,5633.00,754,17.10%,969,"32,925"
HERRON,5632.00,755,21.80%,1248,"25,776"
ARMSTEAD,5631.00,756,78.60%,4548,"7,162"
GRIGGS,5630.00,757,23.70%,1369,"23,756"
TOLLIVER,5622.00,758,50.20%,2956,"11,208"
MEEKS,5606.00,759,19.70%,1126,"28,426"
CHASE,5575.00,760,11.00%,606,"50,777"
DICKENS,5563.00,761,30.60%,1814,"18,181"
DRAYTON,5559.00,762,80.10%,4669,"6,944"
JOHN,5556.00,763,20.10%,1161,"27,643"
SHORT,5551.00,764,9.90%,536,"55,903"
DENSON,5551.00,764,47.30%,2808,"11,725"
GUNN,5550.00,766,25.10%,1475,"22,120"
HAWTHORNE,5549.00,767,34.80%,2083,"15,968"
REAVES,5537.00,768,38.30%,2299,"14,465"
SLOAN,5530.00,769,13.10%,743,"42,281"
CHAVIS,5522.00,770,40.20%,2415,"13,744"
REDD,5511.00,771,44.20%,2657,"12,479"
GOINS,5503.00,772,25.20%,1498,"21,872"
ROBBINS,5493.00,773,7.00%,364,"78,141"
LANIER,5469.00,774,27.10%,1625,"20,181"
WILCOX,5466.00,775,9.90%,546,"54,987"
SPIVEY,5460.00,776,26.80%,1615,"20,349"
BOWIE,5452.00,777,49.80%,3036,"10,943"
NEELY,5449.00,778,23.40%,1393,"23,308"
ANTOINE,5447.00,779,71.60%,4321,"7,606"
RIDDICK,5434.00,780,69.00%,4172,"7,876"
YARBROUGH,5433.00,781,22.60%,1350,"24,063"
KIRK,5424.00,782,10.40%,582,"52,056"
NOBLE,5413.00,783,13.50%,784,"40,217"
DARBY,5410.00,784,30.30%,1850,"17,854"
BATISTE,5407.00,785,90.30%,5355,5990
MCNEILL,5399.00,786,29.50%,1806,"18,272"
GRACE,5394.00,787,20.20%,1200,"26,727"
BRITTON,5393.00,788,19.30%,1147,"28,001"
WESTON,5385.00,789,21.80%,1308,"24,679"
ADKINS,5379.00,790,7.50%,408,"71,528"
LONDON,5364.00,791,35.10%,2185,"15,265"
LOVETT,5357.00,792,29.10%,1789,"18,421"
STUBBS,5349.00,793,28.10%,1722,"19,068"
KIMBROUGH,5345.00,794,47.30%,2927,"11,290"
LITTLEJOHN,5319.00,795,46.70%,2893,"11,383"
DAVID,5316.00,796,13.80%,818,"38,659"
ABRAMS,5299.00,797,21.20%,1295,"24,961"
GILLESPIE,5298.00,798,12.80%,758,"41,393"
BACON,5291.00,799,18.10%,1094,"29,312"
GORE,5291.00,799,21.60%,1326,"24,449"
IRVIN,5279.00,801,25.40%,1583,"20,776"
BURCH,5278.00,802,14.90%,891,"35,521"
CONWAY,5277.00,803,12.20%,719,"43,395"
GARRISON,5275.00,804,10.40%,611,"50,482"
MCDUFFIE,5275.00,804,55.60%,3449,"9,479"
HENDRIX,5272.00,806,15.50%,941,"34,032"
MELVIN,5261.00,807,26.90%,1679,"19,523"
MALLORY,5256.00,808,30.90%,1944,"16,987"
RAGLAND,5241.00,809,43.10%,2719,"12,159"
COOLEY,5237.00,810,16.20%,983,"32,287"
BARKSDALE,5227.00,811,54.60%,3425,"9,565"
TANNER,5226.00,812,11.30%,675,"46,412"
BEVERLY,5214.00,813,44.80%,2822,"11,631"
BELTON,5207.00,814,64.20%,4018,"8,111"
POTTS,5205.00,815,13.80%,832,"37,687"
COATES,5205.00,815,24.00%,1523,"21,652"
TIMMONS,5202.00,817,26.10%,1651,"19,900"
DENT,5198.00,818,36.90%,2354,"14,082"
MCCAIN,5174.00,819,28.90%,1842,"17,933"
FAULKNER,5146.00,820,14.50%,896,"35,389"
THORPE,5141.00,821,24.50%,1569,"20,960"
THURMAN,5118.00,822,22.70%,1450,"22,564"
AKINS,5115.00,823,30.30%,1960,"16,860"
FREDERICK,5108.00,824,12.80%,791,"39,909"
BAPTISTE,5097.00,825,69.30%,4448,"7,353"
NANCE,5091.00,826,22.20%,1431,"22,900"
BOWDEN,5079.00,827,21.50%,1373,"23,677"
SCRUGGS,5076.00,828,32.60%,2141,"15,562"
BRINSON,5064.00,829,44.50%,2895,"11,380"
HARDING,5061.00,830,13.20%,823,"38,340"
HERBERT,5050.00,831,20.00%,1285,"25,224"
BARTON,5030.00,832,7.60%,447,"66,622"
COCHRAN,5014.00,833,8.60%,514,"58,233"
BOOTH,5013.00,834,10.30%,635,"48,580"
GENTRY,5011.00,835,11.80%,741,"42,357"
PINKNEY,5006.00,836,84.30%,5396,5938
JARRETT,4998.00,837,24.40%,1610,"20,449"
FAIR,4995.00,838,28.30%,1870,"17,658"
ABRAHAM,4976.00,839,19.30%,1250,"25,729"
PRESSLEY,4971.00,840,40.80%,2712,"12,182"
IVORY,4970.00,841,74.80%,4846,"6,645"
CHRISTOPHER,4969.00,842,17.40%,1124,"28,493"
DAILEY,4958.00,843,16.00%,1038,"30,894"
COOKS,4954.00,844,89.60%,5740,5526
CORBIN,4952.00,845,19.30%,1253,"25,696"
HOSKINS,4952.00,845,21.20%,1391,"23,358"
LAMB,4948.00,847,8.50%,511,"58,555"
TOLIVER,4942.00,848,72.30%,4743,"6,833"
BRICE,4936.00,849,44.30%,2968,"11,153"
ARCHIE,4933.00,850,76.00%,4969,"6,487"
MCLAUGHLIN,4922.00,851,6.70%,392,"73,128"
TRIPLETT,4910.00,852,28.20%,1890,"17,422"
BOYCE,4892.00,853,18.70%,1223,"26,229"
HANDY,4887.00,854,35.80%,2429,"13,655"
WILLS,4878.00,855,17.40%,1143,"28,036"
LIPSCOMB,4877.00,856,38.20%,2597,"12,775"
BRISCOE,4876.00,857,37.40%,2549,"13,030"
FRANK,4865.00,858,7.40%,454,"65,918"
SUGGS,4857.00,859,37.30%,2553,"13,012"
SEWELL,4856.00,860,23.40%,1586,"20,736"
HANNAH,4852.00,861,25.30%,1717,"19,164"
IVEY,4851.00,862,21.50%,1452,"22,552"
BROWNE,4840.00,863,22.90%,1563,"21,109"
RUTLEDGE,4835.00,864,18.60%,1241,"26,010"
FRENCH,4831.00,865,7.70%,473,"63,149"
MCLAURIN,4824.00,866,64.30%,4380,"7,497"
HENSON,4819.00,867,10.30%,669,"46,609"
OVERTON,4815.00,868,26.60%,1822,"18,094"
HAYDEN,4809.00,869,13.30%,878,"36,024"
DONALD,4808.00,870,40.90%,2802,"11,763"
COHEN,4806.00,871,5.50%,320,"87,226"
HOLLIDAY,4806.00,871,24.70%,1686,"19,488"
COOKE,4798.00,873,15.10%,1000,"31,860"
COMBS,4792.00,874,9.00%,570,"53,180"
EASLEY,4787.00,875,30.10%,2094,"15,902"
ELMORE,4786.00,876,18.90%,1279,"25,280"
PRINGLE,4786.00,876,38.40%,2664,"12,460"
MCKAY,4785.00,878,13.00%,853,"36,948"
LOMAX,4782.00,879,52.40%,3579,"9,120"
BUFORD,4778.00,880,54.60%,3722,"8,751"
PURNELL,4761.00,881,61.60%,4243,"7,725"
REDDICK,4759.00,882,51.70%,3546,"9,203"
PHELPS,4747.00,883,9.30%,598,"51,154"
MULLINS,4744.00,884,6.70%,416,"70,286"
BEAN,4743.00,885,12.80%,846,"37,145"
IRBY,4732.00,886,42.90%,3005,"11,040"
IVY,4722.00,887,37.00%,2602,"12,760"
BLACKMAN,4717.00,888,33.90%,2389,"13,897"
QUARLES,4709.00,889,50.80%,3523,"9,264"
HALEY,4700.00,890,12.90%,869,"36,433"
CASEY,4699.00,891,7.20%,463,"64,815"
HOPSON,4698.00,892,39.00%,2748,"12,050"
DYER,4695.00,893,10.10%,671,"46,574"
BENTLEY,4692.00,894,12.10%,814,"38,714"
JOINER,4679.00,895,30.00%,2134,"15,595"
TRAYLOR,4677.00,896,37.00%,2630,"12,627"
LASSITER,4676.00,897,36.80%,2619,"12,699"
LAW,4672.00,898,15.10%,1037,"30,900"
SINCLAIR,4672.00,898,18.00%,1239,"26,014"
BRADY,4669.00,900,6.60%,411,"71,175"
BARR,4659.00,901,11.00%,738,"42,432"
VAUGHAN,4654.00,902,12.40%,837,"37,591"
ROYSTER,4649.00,903,60.70%,4286,"7,658"
POWERS,4647.00,904,5.10%,304,"90,401"
CHEATHAM,4646.00,905,37.50%,2679,"12,403"
RIGGINS,4638.00,906,40.70%,2892,"11,385"
COWAN,4636.00,907,14.40%,985,"32,242"
VANN,4629.00,908,31.70%,2280,"14,602"
DRUMMOND,4622.00,909,27.10%,1937,"17,032"
KIRBY,4607.00,910,8.80%,577,"52,473"
STANFORD,4604.00,911,22.30%,1601,"20,610"
ROY,4600.00,912,9.30%,621,"49,725"
MOHAMED,4597.00,913,36.80%,2655,"12,499"
SMART,4596.00,914,19.10%,1344,"24,114"
SHORTER,4595.00,915,56.60%,4014,"8,122"
ASHFORD,4590.00,916,52.20%,3702,"8,801"
WORTHY,4586.00,917,55.10%,3919,"8,327"
HURT,4576.00,918,22.00%,1584,"20,753"
DODSON,4562.00,919,12.20%,842,"37,298"
HENLEY,4562.00,919,22.50%,1619,"20,276"
RIDLEY,4559.00,921,41.10%,2987,"11,099"
SLATER,4549.00,922,14.40%,1013,"31,569"
LANDRY,4548.00,923,12.00%,828,"37,961"
RATLIFF,4543.00,924,15.60%,1099,"29,142"
DOSS,4543.00,924,22.00%,1598,"20,623"
MCCORMICK,4537.00,926,7.20%,475,"62,663"
SMALLWOOD,4537.00,926,24.90%,1811,"18,227"
BURRIS,4529.00,928,17.40%,1242,"25,998"
CANTY,4527.00,929,58.30%,4221,"7,769"
BETTS,4526.00,930,23.60%,1714,"19,209"
MOSBY,4524.00,931,63.40%,4563,"7,134"
TINSLEY,4523.00,932,30.50%,2255,"14,834"
NEWELL,4522.00,933,14.40%,1021,"31,317"
RAWLS,4514.00,934,40.10%,2933,"11,265"
ELDER,4513.00,935,15.70%,1118,"28,783"
POINDEXTER,4499.00,936,40.20%,2958,"11,201"
WEATHERS,4488.00,937,33.60%,2473,"13,376"
GEE,4484.00,938,18.80%,1363,"23,826"
MEANS,4471.00,939,28.30%,2107,"15,808"
MCALLISTER,4462.00,940,15.60%,1122,"28,586"
TARVER,4462.00,940,49.90%,3654,"8,935"
HURST,4459.00,942,10.00%,702,"44,587"
WILKES,4456.00,943,25.00%,1856,"17,797"
HOOPER,4451.00,944,13.10%,936,"34,084"
BRUMFIELD,4451.00,944,39.20%,2913,"11,350"
OUTLAW,4444.00,946,53.10%,3904,"8,365"
DILLON,4434.00,947,9.10%,631,"48,833"
AYERS,4416.00,948,11.40%,812,"38,836"
PRITCHETT,4413.00,949,24.00%,1796,"18,350"
FINCH,4408.00,950,14.80%,1076,"29,703"
EATON,4404.00,951,9.50%,676,"46,403"
COSBY,4398.00,952,43.50%,3242,"10,121"
NESBITT,4388.00,953,34.10%,2584,"12,878"
MCKINLEY,4382.00,954,19.00%,1410,"23,124"
COBBS,4381.00,955,71.60%,5241,"6,117"
GADSON,4378.00,956,92.80%,6617,4720
LESLIE,4370.00,957,18.00%,1335,"24,266"
BUCKLEY,4364.00,958,10.70%,772,"40,706"
WALL,4352.00,959,8.00%,557,"54,401"
LAMAR,4352.00,959,39.50%,3010,"11,030"
BARRON,4347.00,961,9.40%,678,"46,196"
FORREST,4345.00,962,19.60%,1474,"22,124"
RODRIGUEZ,4343.00,963,0.50%,9,"804,240"
ARCHER,4340.00,964,13.00%,958,"33,411"
PINCKNEY,4335.00,965,70.80%,5234,"6,126"
GARLAND,4327.00,966,16.80%,1251,"25,725"
MOON,4324.00,967,10.30%,748,"42,062"
NICHOLAS,4287.00,968,16.10%,1205,"26,628"
HEAD,4279.00,969,15.70%,1180,"27,218"
MCCLURE,4274.00,970,9.20%,672,"46,505"
HARLEY,4274.00,970,37.50%,2886,"11,409"
HORN,4270.00,972,8.30%,593,"51,380"
CREWS,4270.00,972,18.40%,1404,"23,167"
MICKENS,4265.00,974,85.60%,6298,4980
CRAFT,4255.00,975,13.90%,1044,"30,653"
CASH,4246.00,976,14.90%,1123,"28,572"
RANKIN,4246.00,976,15.20%,1148,"27,989"
RAYMOND,4243.00,978,11.10%,825,"38,158"
BRAY,4242.00,979,12.30%,923,"34,575"
GODFREY,4241.00,980,15.30%,1159,"27,700"
HEMPHILL,4237.00,981,32.50%,2542,"13,054"
FRYE,4233.00,982,11.50%,862,"36,716"
CHAPPELL,4232.00,983,18.40%,1419,"23,001"
RICH,4230.00,984,8.90%,654,"47,477"
BOSTIC,4227.00,985,39.80%,3122,"10,615"
LEMON,4220.00,986,29.00%,2283,"14,573"
LANGSTON,4217.00,987,22.20%,1731,"18,979"
WESTBROOK,4215.00,988,21.30%,1660,"19,781"
DURANT,4215.00,988,36.00%,2811,"11,699"
KENT,4209.00,990,9.90%,733,"42,597"
GARCIA,4206.00,991,0.50%,8,"858,289"
ETIENNE,4195.00,992,73.90%,5603,5678
MCCANTS,4193.00,993,74.80%,5682,"5,602"
BYERS,4191.00,994,13.40%,1022,"31,299"
ROUNDTREE,4179.00,995,69.20%,5309,"6,038"
MERCER,4174.00,996,12.40%,949,"33,797"
BECK,4164.00,997,4.50%,295,"93,161"
HOBSON,4154.00,998,25.10%,2011,"16,517"
MURRELL,4146.00,999,39.10%,3125,"10,600"
HILTON,4142.00,1000,14.70%,1139,"28,098"
HASKINS,4139.00,1001,25.20%,2022,"16,457"
MURRY,4135.00,1002,43.10%,3415,"9,590"
CURRIE,4125.00,1003,24.80%,2000,"16,627"
TRICE,4118.00,1004,51.70%,4121,"7,960"
CLINTON,4109.00,1005,26.10%,2118,"15,714"
HANKINS,4105.00,1006,19.40%,1561,"21,138"
CAPERS,4105.00,1006,80.10%,6160,5122
POSEY,4087.00,1008,20.80%,1669,"19,648"
SHELBY,4081.00,1009,35.10%,2826,"11,624"
STANTON,4080.00,1010,11.70%,909,"34,812"
BURROUGHS,4080.00,1010,24.40%,1990,"16,702"
SPEARMAN,4076.00,1012,51.90%,4184,"7,855"
MACON,4058.00,1013,61.60%,4893,"6,592"
BATTS,4048.00,1014,51.80%,4204,"7,814"
BILLUPS,4048.00,1014,66.60%,5265,"6,082"
ROLAND,4043.00,1016,21.60%,1752,"18,742"
HUTCHINS,4037.00,1017,15.70%,1257,"25,633"
CRAWLEY,4036.00,1018,33.60%,2760,"12,000"
MARTINEZ,4030.00,1019,0.50%,11,"775,072"
JEANBAPTISTE,4028.00,1020,86.70%,6708,4646
BELCHER,4027.00,1021,14.40%,1149,"27,947"
BARLOW,4025.00,1022,13.10%,1041,"30,749"
MOTLEY,4021.00,1023,40.30%,3301,"9,966"
STROUD,4011.00,1024,16.80%,1357,"23,946"
COUNCIL,4011.00,1024,60.90%,4901,"6,584"
LUMPKIN,4006.00,1026,43.80%,3566,"9,144"
NETTLES,4004.00,1027,37.40%,3104,"10,711"
YANCEY,4002.00,1028,30.30%,2503,"13,226"
MERRIWEATHER,3998.00,1029,89.60%,6931,4463
WEATHERSPOON,3997.00,1030,81.40%,6378,4913
TOWNS,3993.00,1031,54.90%,4486,"7,278"
LUCKETT,3991.00,1032,55.00%,4504,"7,254"
CARMICHAEL,3985.00,1033,21.00%,1729,"19,011"
LEVY,3983.00,1034,11.20%,892,"35,464"
MCCLINTON,3981.00,1035,74.20%,5902,"5,368"
EUBANKS,3970.00,1036,20.20%,1673,"19,616"
CHILDRESS,3964.00,1037,16.20%,1324,"24,485"
STREET,3963.00,1038,20.50%,1701,"19,322"
WEEKS,3958.00,1039,9.60%,764,"41,053"
WINFIELD,3957.00,1040,50.80%,4217,"7,788"
