Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
ROSENTHAL,15931.00,1405,94.40%,1956,"16,881"
SOUZA,15925.00,1406,79.00%,1627,"20,168"
QUIGLEY,15904.00,1407,94.60%,1973,"16,810"
SCHULTE,15902.00,1408,97.40%,2037,"16,327"
KOHLER,15871.00,1409,96.30%,2018,"16,477"
BEAL,15868.00,1410,79.70%,1648,"19,922"
SPAULDING,15868.00,1410,85.60%,1774,"18,527"
JUDD,15852.00,1412,90.40%,1879,"17,532"
DARNELL,15848.00,1413,89.20%,1859,"17,775"
BURKETT,15840.00,1414,88.20%,1837,"17,959"
CATES,15826.00,1415,88.40%,1844,"17,907"
FERNANDEZ,15811.00,1416,11.40%,178,"139,302"
MAYES,15797.00,1417,63.60%,1302,"24,853"
DILL,15792.00,1418,89.90%,1877,"17,562"
WYNN,15791.00,1419,56.30%,1142,"28,048"
SCHWAB,15772.00,1420,96.60%,2035,"16,332"
MADSEN,15766.00,1421,96.00%,2024,"16,425"
BLAND,15757.00,1422,62.50%,1286,"25,219"
GERBER,15753.00,1423,96.40%,2033,"16,348"
COON,15736.00,1424,93.20%,1955,"16,890"
BENEDICT,15716.00,1425,93.30%,1964,"16,846"
JOYNER,15691.00,1426,55.60%,1134,"28,216"
KEATING,15687.00,1427,95.70%,2027,"16,392"
JAMISON,15666.00,1428,59.20%,1211,"26,476"
PACK,15639.00,1429,84.40%,1772,"18,538"
KINCAID,15613.00,1430,87.60%,1852,"17,833"
HACKETT,15609.00,1431,79.50%,1671,"19,637"
THAYER,15609.00,1431,94.60%,2014,"16,496"
GUIDRY,15606.00,1433,78.20%,1645,"19,967"
GUNN,15584.00,1434,70.50%,1475,"22,120"
OAKES,15583.00,1435,91.60%,1943,"17,008"
ADLER,15583.00,1435,95.60%,2041,"16,305"
CALVERT,15560.00,1437,90.60%,1922,"17,169"
OROURKE,15559.00,1438,95.70%,2044,"16,263"
CONROY,15556.00,1439,95.40%,2040,"16,309"
HAY,15548.00,1440,87.20%,1853,"17,824"
SHOOK,15538.00,1441,95.90%,2050,"16,202"
BAER,15535.00,1442,96.10%,2052,"16,165"
DIAZ,15534.00,1443,6.20%,73,"251,772"
MICHAELS,15531.00,1444,93.00%,1994,"16,696"
MURDOCK,15530.00,1445,81.60%,1724,"19,041"
SLAUGHTER,15525.00,1446,59.50%,1234,"26,088"
TYSON,15521.00,1447,55.60%,1152,"27,911"
KEARNEY,15510.00,1448,77.80%,1647,"19,938"
LIGHT,15486.00,1449,92.90%,1996,"16,671"
COATES,15483.00,1450,71.50%,1523,"21,652"
ATWOOD,15477.00,1451,92.40%,1977,"16,754"
HARDEN,15475.00,1452,61.30%,1284,"25,241"
SCHREIBER,15460.00,1453,97.00%,2086,"15,945"
SHAVER,15436.00,1454,92.30%,1987,"16,716"
PRATER,15433.00,1455,83.10%,1769,"18,565"
MEDEIROS,15428.00,1456,85.10%,1818,"18,121"
DUTTON,15424.00,1457,92.00%,1976,"16,774"
MUNSON,15421.00,1458,88.90%,1902,"17,345"
HOFFMANN,15421.00,1458,96.60%,2082,"15,970"
READ,15419.00,1460,92.10%,1981,"16,736"
LANDERS,15412.00,1461,84.20%,1802,"18,308"
SCHILLING,15412.00,1461,96.50%,2083,"15,968"
BAUM,15374.00,1463,95.40%,2060,"16,109"
HUTTON,15369.00,1464,85.60%,1836,"17,961"
ADAIR,15363.00,1465,85.50%,1834,"17,969"
SAPP,15354.00,1466,77.40%,1655,"19,847"
MAGUIRE,15346.00,1467,96.80%,2100,"15,853"
MCCOLLUM,15334.00,1468,79.30%,1700,"19,341"
STAPLETON,15327.00,1469,87.40%,1880,"17,529"
CRUM,15314.00,1470,87.70%,1889,"17,452"
HURT,15309.00,1471,73.80%,1584,"20,753"
RADER,15307.00,1472,94.40%,2047,"16,212"
WAITE,15289.00,1473,87.80%,1892,"17,415"
RIVERS,15284.00,1474,42.50%,879,"35,980"
DELUCA,15277.00,1475,95.90%,2089,"15,928"
JANSEN,15269.00,1476,95.20%,2072,"16,036"
EDMONDS,15264.00,1477,63.00%,1339,"24,210"
DOSS,15263.00,1478,74.00%,1598,"20,623"
GIORDANO,15261.00,1479,95.20%,2072,"16,036"
MARCUM,15255.00,1480,95.80%,2090,"15,925"
HURD,15253.00,1481,76.80%,1654,"19,856"
KENNY,15217.00,1482,90.50%,1972,"16,811"
CRANDALL,15215.00,1483,93.90%,2047,"16,212"
BRENNER,15200.00,1484,96.10%,2106,"15,809"
DORAN,15198.00,1485,92.10%,2013,"16,509"
FRIEND,15190.00,1486,87.70%,1908,"17,312"
DIETRICH,15186.00,1487,96.40%,2112,"15,761"
SORENSON,15176.00,1488,95.90%,2104,"15,833"
LACKEY,15175.00,1489,85.50%,1862,"17,749"
STALEY,15172.00,1490,83.90%,1824,"18,081"
SCHWARZ,15161.00,1491,96.50%,2119,"15,713"
HAWLEY,15154.00,1492,91.40%,2005,"16,578"
WALDRON,15143.00,1493,89.60%,1952,"16,908"
DOBBS,15138.00,1494,84.00%,1829,"18,021"
FERREIRA,15128.00,1495,67.80%,1465,"22,320"
MADISON,15127.00,1496,57.00%,1209,"26,548"
VANDYKE,15125.00,1497,91.80%,2019,"16,474"
STANFORD,15122.00,1498,73.40%,1601,"20,610"
TRENT,15113.00,1499,80.90%,1759,"18,679"
LAUGHLIN,15112.00,1500,93.90%,2062,"16,097"
JEFFRIES,15103.00,1501,66.10%,1435,"22,839"
MATTSON,15103.00,1501,95.40%,2105,"15,825"
MCLAIN,15100.00,1503,88.90%,1945,"16,978"
WETZEL,15100.00,1503,96.30%,2121,"15,674"
BURKHART,15089.00,1505,96.00%,2117,"15,718"
ROMAN,15086.00,1506,25.60%,507,"59,020"
HENNING,15084.00,1507,93.40%,2056,"16,153"
SANDS,15079.00,1508,81.80%,1787,"18,430"
HERNDON,15070.00,1509,80.00%,1742,"18,838"
HONEYCUTT,15051.00,1510,92.20%,2036,"16,330"
FONTENOT,15047.00,1511,78.40%,1715,"19,203"
SHEFFIELD,15038.00,1512,79.20%,1730,"18,983"
HORVATH,15035.00,1513,96.80%,2147,"15,538"
BROWNE,15032.00,1514,71.20%,1563,"21,109"
MCNALLY,15019.00,1515,95.20%,2111,"15,768"
AMOS,14993.00,1516,65.70%,1436,"22,817"
