Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
DAIGLE,13019.00,1759,94.50%,2412,"13,784"
HIGGINBOTHAM,13008.00,1761,90.30%,2304,"14,404"
HEATON,13005.00,1762,94.90%,2424,"13,700"
GOETZ,13005.00,1762,96.40%,2456,"13,495"
HECK,13003.00,1764,94.60%,2415,"13,744"
GUNDERSON,13000.00,1765,95.70%,2442,"13,583"
RENNER,12994.00,1766,95.90%,2448,"13,547"
JOHN,12992.00,1767,47.00%,1161,"27,643"
GRAF,12991.00,1768,95.80%,2445,"13,558"
LIND,12963.00,1769,90.60%,2316,"14,302"
ABERNATHY,12960.00,1770,80.00%,2051,"16,194"
LAWLER,12955.00,1771,91.30%,2336,"14,194"
CLEMENS,12952.00,1772,92.50%,2373,"13,995"
BARTHOLOMEW,12941.00,1773,88.10%,2266,"14,696"
HOUGH,12937.00,1774,85.70%,2208,"15,090"
GALE,12935.00,1775,85.10%,2197,"15,193"
ROONEY,12930.00,1776,95.60%,2450,"13,527"
HARMS,12923.00,1777,96.00%,2459,"13,468"
STRINGER,12920.00,1778,77.70%,1999,"16,634"
SMALLWOOD,12914.00,1779,70.90%,1811,"18,227"
PRIEST,12914.00,1779,90.00%,2309,"14,350"
WHITTAKER,12913.00,1781,78.50%,2023,"16,441"
DONOHUE,12908.00,1782,96.20%,2466,"13,416"
TIERNEY,12895.00,1783,97.20%,2491,"13,262"
EPSTEIN,12878.00,1784,97.10%,2489,"13,269"
STUBBS,12875.00,1785,67.50%,1722,"19,068"
TROYER,12866.00,1786,98.30%,2536,"13,091"
HAMBY,12850.00,1787,93.10%,2409,"13,802"
KAHN,12841.00,1788,88.10%,2284,"14,570"
TRIMBLE,12821.00,1789,82.30%,2138,"15,576"
HOGUE,12815.00,1790,83.00%,2159,"15,442"
LUKE,12810.00,1791,75.30%,1940,"17,016"
CHASTAIN,12801.00,1792,95.50%,2469,"13,403"
THURSTON,12800.00,1793,85.80%,2234,"14,918"
BRANNON,12798.00,1794,81.80%,2127,"15,640"
MALLOY,12797.00,1795,79.70%,2070,"16,056"
BOCK,12787.00,1796,95.60%,2476,"13,369"
IRELAND,12782.00,1797,90.20%,2342,"14,168"
HILLMAN,12775.00,1798,82.70%,2156,"15,448"
FAIRCHILD,12762.00,1799,93.20%,2424,"13,700"
FLINT,12757.00,1800,86.90%,2268,"14,683"
MORRISSEY,12753.00,1801,96.30%,2496,"13,244"
VANHORN,12752.00,1802,93.00%,2421,"13,716"
THARP,12752.00,1802,93.90%,2443,"13,578"
CARNES,12734.00,1804,89.90%,2344,"14,158"
ROWELL,12723.00,1805,82.30%,2154,"15,457"
FERRARA,12709.00,1806,95.10%,2480,"13,357"
CHEEK,12700.00,1807,81.60%,2140,"15,566"
CREECH,12699.00,1808,92.20%,2414,"13,770"
MOELLER,12678.00,1809,96.80%,2533,"13,094"
WILKES,12671.00,1810,71.20%,1856,"17,797"
PAYTON,12664.00,1811,55.60%,1440,"22,773"
MICHEL,12649.00,1812,58.90%,1539,"21,487"
HERRMANN,12649.00,1812,96.90%,2541,"13,056"
RUSS,12610.00,1814,73.60%,1931,"17,136"
SQUIRES,12604.00,1815,90.20%,2380,"13,969"
CHAMPION,12592.00,1816,74.50%,1953,"16,900"
LEARY,12574.00,1817,83.10%,2203,"15,127"
HITCHCOCK,12574.00,1817,92.00%,2427,"13,664"
TITUS,12569.00,1819,82.00%,2172,"15,321"
ELLER,12566.00,1820,94.90%,2497,"13,243"
WRAY,12564.00,1821,84.80%,2257,"14,812"
RINEHART,12560.00,1822,95.20%,2510,"13,192"
HACKER,12552.00,1823,95.20%,2513,"13,178"
MAJOR,12542.00,1824,63.40%,1659,"19,791"
WILES,12530.00,1825,90.70%,2406,"13,810"
BORDEN,12528.00,1826,81.70%,2171,"15,342"
GILLILAND,12523.00,1827,95.10%,2517,"13,170"
WORTHINGTON,12518.00,1828,89.20%,2363,"14,038"
MAST,12518.00,1828,97.30%,2587,"12,869"
OVERTON,12517.00,1830,69.20%,1822,"18,094"
YOUNGBLOOD,12507.00,1831,71.50%,1884,"17,485"
DEVRIES,12503.00,1832,96.50%,2567,"12,958"
SEAMAN,12498.00,1833,94.30%,2492,"13,260"
MCGREGOR,12493.00,1834,83.50%,2227,"14,969"
SCHERER,12480.00,1835,96.80%,2580,"12,889"
STARNES,12478.00,1836,90.10%,2400,"13,844"
BARNEY,12474.00,1837,80.20%,2144,"15,556"
WILLEY,12464.00,1838,94.80%,2521,"13,145"
MINTON,12457.00,1839,91.10%,2426,"13,667"
STCLAIR,12450.00,1840,87.10%,2318,"14,296"
MACKENZIE,12449.00,1841,94.50%,2515,"13,174"
LINCOLN,12445.00,1842,77.40%,2068,"16,070"
BURNETTE,12436.00,1843,75.80%,2026,"16,409"
HUMPHREYS,12434.00,1844,91.80%,2447,"13,548"
WISNIEWSKI,12431.00,1845,97.40%,2602,"12,760"
HEIN,12423.00,1846,95.90%,2569,"12,953"
DAMICO,12416.00,1847,95.80%,2565,"12,966"
BOUCHARD,12411.00,1848,96.40%,2586,"12,870"
BACHMAN,12410.00,1849,96.30%,2582,"12,887"
BEAM,12407.00,1850,93.80%,2502,"13,230"
FOUNTAIN,12405.00,1851,65.00%,1720,"19,094"
RHOADS,12404.00,1852,95.40%,2557,"13,008"
LUTHER,12401.00,1853,91.20%,2438,"13,601"
BRANTLEY,12399.00,1854,62.10%,1646,"19,953"
STALLINGS,12389.00,1855,73.70%,1968,"16,819"
STEWARD,12385.00,1856,57.40%,1533,"21,558"
WHITING,12382.00,1857,78.80%,2116,"15,719"
HOLM,12377.00,1858,96.00%,2578,"12,894"
WAHL,12367.00,1859,95.60%,2574,"12,933"
SOUSA,12363.00,1860,87.20%,2339,"14,183"
WESTFALL,12359.00,1861,95.30%,2564,"12,968"
PRUETT,12324.00,1862,94.00%,2526,"13,113"
LOVETT,12313.00,1863,66.80%,1789,"18,421"
ISAACS,12308.00,1864,85.60%,2306,"14,379"
DOW,12306.00,1865,84.20%,2278,"14,622"
MCNULTY,12306.00,1865,94.10%,2538,"13,080"
SHANK,12301.00,1867,94.10%,2539,"13,070"
GIVENS,12300.00,1868,51.60%,1364,"23,823"
SNODGRASS,12295.00,1869,94.80%,2566,"12,963"
SMILEY,12285.00,1870,64.60%,1728,"19,014"
CRUMP,12277.00,1871,61.50%,1643,"19,973"
ROBB,12274.00,1872,91.20%,2460,"13,455"
VITALE,12271.00,1873,95.70%,2593,"12,826"
STEINBERG,12265.00,1874,96.50%,2610,"12,715"
BUSBY,12254.00,1875,79.40%,2161,"15,424"
REYES,12230.00,1876,5.30%,81,"232,511"
EMMONS,12229.00,1877,92.90%,2518,"13,162"
ROWAN,12225.00,1878,88.60%,2408,"13,803"
UPTON,12221.00,1879,89.70%,2432,"13,630"
WENDT,12221.00,1879,95.90%,2605,"12,744"
SHELLEY,12218.00,1881,87.30%,2373,"13,995"
FUCHS,12211.00,1882,96.10%,2612,"12,707"
BOLES,12210.00,1883,83.40%,2274,"14,644"
BALES,12206.00,1884,93.70%,2550,"13,028"
RECTOR,12202.00,1885,89.70%,2437,"13,609"
MCCARTNEY,12198.00,1886,93.80%,2555,"13,011"
FINNEY,12197.00,1887,72.10%,1950,"16,919"
ELLSWORTH,12194.00,1888,92.30%,2506,"13,213"
NOONAN,12191.00,1889,96.40%,2625,"12,641"
MORALES,12188.00,1890,5.60%,90,"217,642"
STAPLES,12182.00,1891,73.50%,2007,"16,572"
WHITTEN,12182.00,1891,87.80%,2393,"13,876"
STRANGE,12180.00,1893,83.50%,2282,"14,582"
TROTTER,12178.00,1894,64.30%,1734,"18,946"
BLANK,12175.00,1895,95.80%,2613,"12,706"
SHIPMAN,12172.00,1896,81.60%,2235,"14,917"
POLK,12157.00,1897,47.80%,1270,"25,438"
GRAFF,12144.00,1898,96.40%,2637,"12,601"
PRATHER,12142.00,1899,77.70%,2129,"15,631"
CROOK,12139.00,1900,85.00%,2323,"14,279"
BELANGER,12131.00,1901,96.00%,2628,"12,634"
NICKERSON,12111.00,1902,78.60%,2162,"15,409"
TEMPLETON,12103.00,1903,91.00%,2483,"13,299"
BEAVERS,12100.00,1904,79.00%,2175,"15,316"
SCHELL,12095.00,1905,94.60%,2596,"12,785"
HOOK,12084.00,1906,91.70%,2516,"13,171"
KINSEY,12083.00,1907,78.70%,2169,"15,357"
RUCKER,12069.00,1908,48.00%,1287,"25,160"
MCNEILL,12049.00,1909,65.90%,1806,"18,272"
GRIFFITHS,12048.00,1910,88.80%,2444,"13,563"
HOPE,12043.00,1911,72.10%,1988,"16,710"
WATT,12040.00,1912,81.00%,2246,"14,872"
GARBER,12038.00,1913,95.90%,2646,"12,558"
PENDLETON,12031.00,1914,75.10%,2076,"16,026"
HOOKER,12030.00,1915,73.00%,2017,"16,479"
TRAHAN,12030.00,1915,87.60%,2419,"13,733"
CONDON,12023.00,1917,94.70%,2620,"12,690"
MESSINA,12021.00,1918,95.20%,2631,"12,626"
NORWOOD,12020.00,1919,55.40%,1520,"21,678"
DOUGLASS,12017.00,1920,84.40%,2329,"14,236"
HOUCK,12017.00,1920,96.50%,2667,"12,458"
KEENER,12015.00,1922,92.10%,2545,"13,046"
KENYON,12014.00,1923,95.20%,2635,"12,620"
WILL,12013.00,1924,91.20%,2514,"13,177"
DOWD,12010.00,1925,90.40%,2486,"13,279"
JERNIGAN,12001.00,1926,78.40%,2182,"15,298"
DENNISON,12001.00,1926,84.90%,2348,"14,132"
STOCK,12001.00,1926,96.20%,2657,"12,479"
ADCOCK,12000.00,1929,95.60%,2647,"12,550"
BRANHAM,11997.00,1930,88.50%,2446,"13,550"
EBERT,11992.00,1931,96.40%,2671,"12,440"
CHRISTY,11987.00,1932,90.20%,2484,"13,295"
FAIR,11981.00,1933,67.90%,1870,"17,658"
MCCAIN,11974.00,1934,66.80%,1842,"17,933"
SAMS,11974.00,1934,77.50%,2158,"15,446"
HERRINGTON,11974.00,1934,87.90%,2434,"13,628"
SEITZ,11970.00,1937,96.70%,2683,"12,375"
DANIELSON,11964.00,1938,94.80%,2633,"12,622"
KNOTT,11960.00,1939,85.40%,2369,"14,008"
CHENEY,11956.00,1940,92.20%,2563,"12,970"
BURROUGHS,11949.00,1941,71.50%,1990,"16,702"
SCHUBERT,11943.00,1942,95.90%,2664,"12,460"
JARRELL,11940.00,1943,90.30%,2504,"13,224"
PEASE,11922.00,1944,92.90%,2592,"12,828"
BREEN,11920.00,1945,90.10%,2499,"13,237"
DICKENS,11872.00,1946,65.30%,1814,"18,181"
CARRIER,11865.00,1947,88.50%,2467,"13,413"
TROUT,11864.00,1948,94.40%,2642,"12,569"
CURRIE,11862.00,1949,71.30%,2000,"16,627"
MAIN,11852.00,1950,93.80%,2629,"12,631"
TRIPLETT,11850.00,1951,68.00%,1890,"17,422"
REES,11849.00,1952,95.10%,2669,"12,456"
PICKERING,11846.00,1953,90.10%,2519,"13,154"
FARRAR,11840.00,1954,81.90%,2301,"14,451"
BOLIN,11839.00,1955,91.80%,2577,"12,895"
VICK,11831.00,1956,84.50%,2368,"14,009"
JOLLY,11829.00,1957,78.00%,2198,"15,166"
JAEGER,11829.00,1957,96.20%,2695,"12,298"
DARBY,11803.00,1959,66.10%,1850,"17,854"
DOWELL,11802.00,1960,77.50%,2192,"15,226"
PARISH,11788.00,1961,82.70%,2327,"14,250"
KELSEY,11779.00,1962,85.10%,2397,"13,849"
CARON,11779.00,1962,95.40%,2690,"12,343"
COBURN,11777.00,1964,87.10%,2454,"13,514"
FRANTZ,11773.00,1965,96.10%,2699,"12,252"
REICH,11766.00,1966,95.80%,2696,"12,283"
BEARDEN,11765.00,1967,90.10%,2543,"13,051"
WILLETT,11764.00,1968,92.60%,2613,"12,706"
KITCHEN,11756.00,1969,81.20%,2298,"14,478"
BOLLINGER,11755.00,1970,96.50%,2713,"12,180"
SATTERFIELD,11750.00,1971,85.00%,2405,"13,824"
GANN,11746.00,1972,93.50%,2645,"12,563"
RUDD,11737.00,1973,82.80%,2343,"14,167"
WINSLOW,11722.00,1974,85.50%,2422,"13,713"
DRUMMOND,11720.00,1975,68.80%,1937,"17,032"
CASPER,11717.00,1976,94.10%,2667,"12,458"
MARLOW,11706.00,1977,88.80%,2511,"13,185"
WAY,11688.00,1978,82.20%,2334,"14,222"
WHITMORE,11687.00,1979,77.20%,2202,"15,135"
DENNEY,11682.00,1980,94.70%,2692,"12,333"
SALISBURY,11681.00,1981,92.80%,2640,"12,581"
CLEVENGER,11675.00,1982,96.10%,2725,"12,146"
HOBSON,11673.00,1983,70.70%,2011,"16,517"
WAKEFIELD,11668.00,1984,83.00%,2360,"14,058"
DEVLIN,11663.00,1985,93.60%,2664,"12,460"
MCCLELLAND,11654.00,1986,85.60%,2435,"13,610"
NEWBERRY,11650.00,1987,88.00%,2501,"13,233"
BARONE,11649.00,1988,95.40%,2705,"12,208"
MARTINO,11648.00,1989,90.40%,2580,"12,889"
AMATO,11640.00,1990,93.80%,2676,"12,411"
HASKINS,11630.00,1991,70.70%,2022,"16,457"
WHIPPLE,11621.00,1992,86.80%,2471,"13,387"
CASTRO,11620.00,1993,8.70%,194,"133,254"
ORTIZ,11593.00,1994,5.40%,94,"214,683"
LEAVITT,11589.00,1995,94.80%,2702,"12,223"
ELY,11579.00,1996,89.90%,2583,"12,884"
ASHER,11576.00,1997,91.10%,2611,"12,710"
SPEAR,11573.00,1998,88.70%,2544,"13,049"
GIRARD,11570.00,1999,93.30%,2677,"12,407"
STOREY,11568.00,2000,86.00%,2461,"13,450"
